wild_count,mutant_count
150,50
148,47
152,45
156,44
161,45
162,43
164,45
164,48
164,48
164,50
162,52
161,53
151,56
145,59
144,56
144,56
154,58
149,62
155,61
156,62
140,62
140,61
140,59
146,61
146,58
150,54
139,48
134,48
132,47
132,44
125,40
121,36
118,38
116,36
115,37
114,37
118,36
118,35
121,34
127,35
131,35
136,31
142,33
137,33
133,35
136,39
136,40
137,39
141,39
148,36
147,37
140,37
130,41
139,42
127,41
129,42
125,40
117,40
123,40
120,41
121,40
120,44
122,42
124,44
117,52
130,45
133,50
136,50
137,50
143,51
151,46
155,44
158,40
150,44
146,47
145,44
144,46
155,47
153,51
153,50
150,51
153,52
156,54
160,55
161,47
161,46
163,49
171,52
172,50
175,56
166,55
171,55
170,56
180,51
174,48
181,50
181,53
185,55
184,56
185,55
183,59
181,64
178,63
170,63
179,64
176,71
177,69
174,64
174,65
176,64
178,62
181,60
184,56
188,58
185,58
192,56
190,60
184,62
173,66
175,64
172,67
172,58
169,60
176,60
171,58
171,58
167,61
164,70
160,64
164,59
166,55
170,54
171,53
165,51
164,54
162,58
161,56
159,56
159,53
164,49
164,47
161,49
159,52
164,49
167,53
166,55
166,63
171,64
168,65
172,68
173,68
163,73
166,67
175,68
173,64
180,67
175,67
173,68
166,70
163,69
170,71
172,71
160,66
171,63
182,64
180,61
173,66
178,66
175,66
172,62
171,60
167,60
171,61
168,56
168,53
166,54
166,53
169,53
166,55
171,56
176,57
178,58
180,57
182,60
181,60
180,54
181,54
177,52
171,49
166,53
172,56
166,51
172,50
182,47
177,45
172,43
172,46
169,43
171,44
171,45
166,46
163,49
164,50
162,53
165,51
169,47
176,48
170,49
180,47
185,47
183,49
177,44
175,49
173,53
175,52
182,53
173,57
176,52
185,52
182,50
186,50
185,52
183,52
184,51
183,50
181,52
181,52
182,53
187,53
186,51
183,48
178,46
170,43
178,43
175,44
176,46
183,45
197,43
194,39
196,40
199,38
197,35
198,32
193,32
191,30
182,31
176,31
171,32
169,33
177,32
166,32
170,34
159,36
160,35
163,35
160,39
167,39
157,41
160,42
163,42
153,43
152,38
152,39
143,40
134,35
133,35
130,33
133,31
130,31
129,32
126,27
135,27
129,27
130,31
137,32
137,31
134,30
136,30
140,33
137,32
136,30
135,31
143,29
145,30
147,32
145,30
147,30
151,32
145,32
149,35
148,35
146,34
139,36
141,39
139,38
133,37
135,41
134,46
130,43
122,50
123,52
125,50
121,49
123,50
122,45
121,49
128,47
129,48
126,48
129,55
140,55
134,55
132,59
139,55
133,53
127,52
131,51
132,50
127,50
127,48
123,47
127,46
129,48
125,48
