steps,wild_mean,mutant_mean,total_count
227,131.821,42.422,174.243
228,131.898,42.163,174.061
229,132.207,41.994,174.201
230,132.666,42.293,174.959
231,132.228,42.131,174.359
232,132.004,41.904,173.908
233,131.803,41.907,173.71
234,132.053,42.141,174.194
235,131.966,42.067,174.033
236,131.879,42.193,174.072
237,131.524,42.158,173.682
238,131.645,42.248,173.893
239,131.441,42.6,174.041
240,131.799,42.162,173.961
241,132.034,42.462,174.496
242,131.405,42.627,174.032
243,131.616,42.691,174.307
244,131.12,42.518,173.638
245,130.649,42.776,173.425
246,130.359,43.066,173.425
247,130.756,43.18,173.936
248,130.555,42.832,173.387
249,131.205,42.991,174.196
250,131.438,43.072,174.51
251,131.675,42.636,174.311
252,131.558,42.786,174.344
253,131.606,42.707,174.313
254,131.245,42.705,173.95
255,131.273,42.424,173.697
256,131.311,42.53,173.841
257,130.899,42.777,173.676
258,130.999,42.813,173.812
259,130.486,42.795,173.281
260,130.945,42.679,173.624
261,130.601,42.963,173.564
262,130.789,42.936,173.725
263,131.221,42.643,173.864
264,130.794,42.759,173.553
265,131.351,42.653,174.004
266,130.766,42.662,173.428
267,130.759,42.65,173.409
268,130.999,42.546,173.545
269,131.272,42.658,173.93
270,130.646,43.308,173.954
271,130.618,43.03,173.648
272,130.203,43.194,173.397
273,130.273,43.181,173.454
274,130.619,43.104,173.723
275,130.05,43.225,173.275
276,130.531,42.945,173.476
277,130.574,43.162,173.736
278,131.22,43.316,174.536
279,131.268,43.046,174.314
280,131.125,42.829,173.954
281,131.492,43.001,174.493
282,130.978,43.043,174.021
283,130.77,42.736,173.506
284,131.042,42.644,173.686
285,130.666,42.622,173.288
286,131.066,42.896,173.962
287,130.703,43.061,173.764
288,130.657,43.139,173.796
289,130.987,43.178,174.165
290,131.282,43.233,174.515
291,131.446,42.959,174.405
292,131.268,42.756,174.024
293,130.812,42.72,173.532
294,130.185,43.348,173.533
295,130.208,43.259,173.467
296,130.443,43.526,173.969
297,130.365,43.527,173.892
298,130.862,43.204,174.066
299,130.992,43.619,174.611
300,131.274,43.382,174.656
301,130.624,43.275,173.899
302,130.577,43.105,173.682
303,131.022,43.071,174.093
304,130.642,43.188,173.83
305,131.03,43.126,174.156
306,130.587,43.234,173.821
307,130.433,43.38,173.813
308,130.672,43.612,174.284
309,130.803,43.329,174.132
310,130.689,43.838,174.527
311,129.598,43.765,173.363
312,129.435,43.818,173.253
313,129.201,44.061,173.262
314,129.397,43.935,173.332
315,130.343,44.094,174.437
316,130.436,43.751,174.187
317,130.452,44.201,174.653
318,130.365,44.018,174.383
319,130.563,43.792,174.355
320,130.572,43.914,174.486
321,129.621,43.822,173.443
322,129.801,43.804,173.605
323,129.54,44.056,173.596
324,129.843,43.929,173.772
325,129.717,43.68,173.397
326,130.189,43.582,173.771
327,130.266,43.71,173.976
328,130.892,43.736,174.628
329,130.047,43.945,173.992
330,130.781,43.478,174.259
331,130.833,43.424,174.257
332,130.486,43.64,174.126
333,129.621,43.632,173.253
334,130.289,43.727,174.016
335,130.406,43.734,174.14
336,129.799,43.989,173.788
337,129.943,43.936,173.879
338,130.234,43.814,174.048
339,130.204,43.951,174.155
340,129.974,43.975,173.949
341,130.389,44.27,174.659
342,130.446,43.836,174.282
343,130.6,43.674,174.274
344,130.472,43.625,174.097
345,130.85,44.006,174.856
346,130.852,44.123,174.975
347,130.778,43.755,174.533
348,130.026,43.875,173.901
349,130.086,43.925,174.011
350,130.052,44.02,174.072
351,130.207,44.221,174.428
352,129.69,43.991,173.681
353,129.979,43.772,173.751
354,129.902,44.069,173.971
355,129.964,44.032,173.996
356,129.586,44.136,173.722
357,130.316,43.758,174.074
358,130.572,43.489,174.061
359,130.471,43.503,173.974
360,130.08,43.582,173.662
361,130.077,44.049,174.126
362,129.613,44.146,173.759
363,129.642,43.927,173.569
364,130.153,44.046,174.199
365,129.775,44.416,174.191
366,129.792,44.323,174.115
367,129.751,44.05,173.801
368,129.583,44.082,173.665
369,129.762,44.339,174.101
370,129.665,44.741,174.406
371,129.227,44.535,173.762
372,129.467,44.617,174.084
373,129.65,44.639,174.289
374,129.71,44.456,174.166
375,129.752,44.515,174.267
376,129.572,44.752,174.324
377,129.596,44.914,174.51
378,129.271,45.059,174.33
379,128.94,45.079,174.019
380,128.84,45.055,173.895
381,128.887,45.057,173.944
382,128.713,45.002,173.715
383,129.348,45.343,174.691
384,129.43,45.34,174.77
385,129.299,45.278,174.577
386,129.162,45.538,174.7
387,129.294,45.294,174.588
388,129.456,44.829,174.285
389,129.36,44.824,174.184
390,128.838,44.542,173.38
391,128.765,44.636,173.401
392,128.994,44.819,173.813
393,128.532,45.15,173.682
394,128.176,44.974,173.15
395,127.884,44.84,172.724
396,128.189,45.015,173.204
397,127.877,45.102,172.979
398,128.231,45.347,173.578
399,128.161,45.158,173.319
400,128.156,45.194,173.35
401,128.178,44.923,173.101
402,128.632,44.86,173.492
403,128.644,44.634,173.278
404,128.339,45.053,173.392
405,127.911,45.123,173.034
406,128.198,45.635,173.833
407,128.092,45.788,173.88
408,127.923,45.885,173.808
409,128.375,45.695,174.07
410,128.668,45.628,174.296
411,128.556,45.578,174.134
412,128.437,45.454,173.891
413,128.637,45.512,174.149
414,128.314,45.644,173.958
415,128.095,45.818,173.913
416,128.08,46.249,174.329
417,128.14,46.186,174.326
418,128.35,46.115,174.465
419,128.25,46.101,174.351
420,128.822,46.302,175.124
421,128.078,46.207,174.285
422,127.556,46.402,173.958
423,127.815,45.992,173.807
424,127.785,45.856,173.641
425,127.987,45.825,173.812
426,127.676,46.193,173.869
427,127.051,46.257,173.308
428,127.093,46.274,173.367
429,126.825,46.033,172.858
430,127.449,46.059,173.508
431,127.741,46.568,174.309
432,127.551,46.475,174.026
433,127.619,46.627,174.246
434,127.204,46.604,173.808
435,126.988,46.47,173.458
436,127.187,46.144,173.331
437,127.319,46.31,173.629
438,127.393,46.036,173.429
439,127.651,46.042,173.693
440,127.559,46.222,173.781
441,127.802,45.987,173.789
442,127.556,46.161,173.717
443,127.341,46.137,173.478
444,127.491,46.449,173.94
445,127.575,46.452,174.027
446,127.551,46.777,174.328
447,127.898,46.813,174.711
448,127.652,46.676,174.328
449,127.465,46.842,174.307
450,127.207,46.82,174.027
451,127.185,46.987,174.172
452,126.931,47.031,173.962
453,126.592,46.757,173.349
454,125.986,46.538,172.524
455,126.562,46.293,172.855
456,126.951,46.361,173.312
457,127.166,46.178,173.344
458,127.789,46.134,173.923
459,127.588,46.244,173.832
460,127.541,46.534,174.075
461,127.621,46.634,174.255
462,127.611,46.587,174.198
463,127.18,46.455,173.635
464,127.168,46.663,173.831
465,127.436,47.153,174.589
466,127.391,47.019,174.41
467,127.232,47.05,174.282
468,126.951,46.854,173.805
469,126.879,46.942,173.821
470,126.753,46.85,173.603
471,126.728,46.929,173.657
472,127.45,46.799,174.249
473,127.596,46.908,174.504
474,126.957,47.207,174.164
475,127.206,47.304,174.51
476,126.967,47.329,174.296
477,126.69,46.999,173.689
478,126.574,47.124,173.698
479,126.455,47.342,173.797
480,126.356,47.564,173.92
481,126.121,47.574,173.695
482,126.183,47.072,173.255
483,126.651,47.092,173.743
484,126.63,47.264,173.894
485,126.667,47.35,174.017
486,126.894,47.54,174.434
487,126.765,47.627,174.392
488,127.245,47.446,174.691
489,126.868,47.497,174.365
490,126.858,47.453,174.311
491,126.754,47.39,174.144
492,126.705,47.41,174.115
493,126.336,47.617,173.953
494,126.205,47.617,173.822
495,126.532,47.69,174.222
496,126.275,47.662,173.937
497,126.397,47.629,174.026
498,126.537,47.83,174.367
499,126.619,47.938,174.557
500,126.555,47.971,174.526
501,126.095,47.879,173.974
502,126.093,48.253,174.346
503,126.113,48.309,174.422
504,125.798,47.969,173.767
505,125.446,47.943,173.389
506,125.772,48.218,173.99
507,126.011,48.054,174.065
508,126.061,48.012,174.073
509,125.9,47.796,173.696
510,126.166,48.1,174.266
511,126.35,48.225,174.575
512,125.573,48.255,173.828
513,126.078,48.171,174.249
514,126.416,48.398,174.814
515,126.223,48.276,174.499
516,125.664,48.405,174.069
517,125.751,48.004,173.755
518,125.689,47.93,173.619
519,126.172,47.664,173.836
520,126.296,47.939,174.235
521,126.798,48.013,174.811
522,126.604,47.995,174.599
523,126.684,48.388,175.072
524,126.503,47.867,174.37
525,126.868,47.727,174.595
526,126.786,47.928,174.714
527,126.771,47.663,174.434
528,126.503,47.471,173.974
529,126.256,48.005,174.261
530,126.061,47.898,173.959
531,126.24,48.014,174.254
532,126.369,47.959,174.328
533,126.189,48.154,174.343
534,125.866,48.265,174.131
535,126.181,48.292,174.473
536,126.367,48.106,174.473
537,125.388,47.937,173.325
538,125.331,47.977,173.308
539,125.141,48.045,173.186
540,124.999,47.953,172.952
541,125.023,47.918,172.941
542,124.799,47.716,172.515
543,125.139,47.767,172.906
544,124.82,48.342,173.162
545,125.261,48.535,173.796
546,125.451,48.163,173.614
547,125.538,48.303,173.841
548,125.259,48.497,173.756
549,124.991,48.4,173.391
550,124.874,48.548,173.422
551,125.433,48.653,174.086
552,125.428,48.805,174.233
553,124.972,48.539,173.511
554,125.219,48.401,173.62
555,124.806,48.793,173.599
556,124.711,48.404,173.115
557,124.872,48.456,173.328
558,124.51,48.561,173.071
559,124.112,48.721,172.833
560,124.79,48.533,173.323
561,124.709,48.72,173.429
562,124.794,48.695,173.489
563,124.662,48.46,173.122
564,124.822,48.549,173.371
565,124.844,48.784,173.628
566,124.586,48.823,173.409
567,124.736,48.978,173.714
568,124.778,48.679,173.457
569,124.776,48.568,173.344
570,124.718,48.425,173.143
571,125.096,48.565,173.661
572,125.614,48.516,174.13
573,125.865,48.371,174.236
574,125.558,48.5,174.058
575,125.728,48.22,173.948
576,125.389,48.326,173.715
577,124.909,48.201,173.11
578,125.033,48.396,173.429
579,125.082,48.25,173.332
580,125.602,48.727,174.329
581,125.688,48.934,174.622
582,125.847,48.765,174.612
583,125.639,48.663,174.302
584,125.573,48.534,174.107
585,125.744,48.401,174.145
586,125.361,48.353,173.714
587,124.937,48.054,172.991
588,124.704,48.14,172.844
589,124.685,48.574,173.259
590,125.185,48.735,173.92
591,125.173,48.706,173.879
592,125.18,48.635,173.815
593,125.055,48.409,173.464
594,125.046,48.557,173.603
595,125.409,48.657,174.066
596,125.175,48.749,173.924
597,125.015,48.563,173.578
598,125.105,48.666,173.771
599,124.983,48.741,173.724
600,124.896,48.765,173.661
601,125.22,48.566,173.786
602,125.19,48.43,173.62
603,125.43,48.436,173.866
604,125.383,48.746,174.129
605,125.568,48.951,174.519
606,125.295,48.931,174.226
607,124.88,48.823,173.703
608,125.467,48.989,174.456
609,125.214,49.161,174.375
610,125.556,48.69,174.246
611,125.383,48.614,173.997
612,124.959,48.31,173.269
613,125.273,48.674,173.947
614,125.295,48.434,173.729
615,124.83,48.786,173.616
