steps,wild_mean,mutant_mean,total_count
227,146.304,27.939,174.243
228,146.34,27.721,174.061
229,146.725,27.476,174.201
230,147.126,27.833,174.959
231,146.644,27.715,174.359
232,146.536,27.372,173.908
233,146.494,27.216,173.71
234,146.718,27.476,174.194
235,146.658,27.375,174.033
236,146.712,27.36,174.072
237,146.24,27.442,173.682
238,146.317,27.576,173.893
239,146.122,27.919,174.041
240,146.447,27.514,173.961
241,146.714,27.782,174.496
242,146.042,27.99,174.032
243,146.323,27.984,174.307
244,145.799,27.839,173.638
245,145.424,28.001,173.425
246,145.346,28.079,173.425
247,145.68,28.256,173.936
248,145.314,28.073,173.387
249,146.109,28.087,174.196
250,146.396,28.114,174.51
251,146.448,27.863,174.311
252,146.242,28.102,174.344
253,146.191,28.122,174.313
254,145.75,28.2,173.95
255,145.742,27.955,173.697
256,145.853,27.988,173.841
257,145.482,28.194,173.676
258,145.459,28.353,173.812
259,144.84,28.441,173.281
260,145.168,28.456,173.624
261,145.178,28.386,173.564
262,145.398,28.327,173.725
263,145.68,28.184,173.864
264,145.043,28.51,173.553
265,145.586,28.418,174.004
266,145.233,28.195,173.428
267,145.177,28.232,173.409
268,145.428,28.117,173.545
269,145.772,28.158,173.93
270,145.506,28.448,173.954
271,145.254,28.394,173.648
272,144.739,28.658,173.397
273,144.698,28.756,173.454
274,145.136,28.587,173.723
275,144.734,28.541,173.275
276,145.18,28.296,173.476
277,145.334,28.402,173.736
278,146.003,28.533,174.536
279,145.882,28.432,174.314
280,145.698,28.256,173.954
281,146.031,28.462,174.493
282,145.48,28.541,174.021
283,145.255,28.251,173.506
284,145.418,28.268,173.686
285,145.154,28.134,173.288
286,145.385,28.577,173.962
287,145.013,28.751,173.764
288,145.008,28.788,173.796
289,145.39,28.775,174.165
290,145.752,28.763,174.515
291,145.772,28.633,174.405
292,145.489,28.535,174.024
293,145.068,28.464,173.532
294,144.499,29.034,173.533
295,144.549,28.918,173.467
296,144.745,29.224,173.969
297,144.636,29.256,173.892
298,145.16,28.906,174.066
299,145.423,29.188,174.611
300,145.627,29.029,174.656
301,144.828,29.071,173.899
302,144.736,28.946,173.682
303,145.134,28.959,174.093
304,144.975,28.855,173.83
305,145.218,28.938,174.156
306,144.877,28.944,173.821
307,144.954,28.859,173.813
308,145.199,29.085,174.284
309,145.21,28.922,174.132
310,145.14,29.387,174.527
311,143.989,29.374,173.363
312,143.909,29.344,173.253
313,143.758,29.504,173.262
314,143.829,29.503,173.332
315,144.84,29.597,174.437
316,144.808,29.379,174.187
317,144.958,29.695,174.653
318,144.756,29.627,174.383
319,144.954,29.401,174.355
320,145.004,29.482,174.486
321,144.034,29.409,173.443
322,144.132,29.473,173.605
323,144.022,29.574,173.596
324,144.4,29.372,173.772
325,144.201,29.196,173.397
326,144.665,29.106,173.771
327,144.783,29.193,173.976
328,145.37,29.258,174.628
329,144.479,29.513,173.992
330,145.078,29.181,174.259
331,145.019,29.238,174.257
332,144.84,29.286,174.126
333,144.049,29.204,173.253
334,144.755,29.261,174.016
335,144.813,29.327,174.14
336,144.17,29.618,173.788
337,144.161,29.718,173.879
338,144.557,29.491,174.048
339,144.837,29.318,174.155
340,144.464,29.485,173.949
341,144.883,29.776,174.659
342,144.788,29.494,174.282
343,144.779,29.495,174.274
