wild_count,mutant_count
150,50
156,50
160,45
165,47
166,44
162,46
160,49
162,46
160,45
165,49
162,48
156,47
155,49
150,46
148,40
147,41
148,42
149,45
143,46
136,45
133,46
135,42
141,47
138,48
139,47
145,46
148,44
156,45
157,45
163,45
162,45
158,45
159,48
161,47
157,47
149,45
143,48
147,48
149,44
149,44
152,46
153,40
144,42
137,39
139,35
148,32
147,31
149,33
151,34
145,34
150,28
154,29
151,27
148,27
148,28
155,27
159,27
147,26
153,27
143,25
150,27
150,28
157,27
148,27
141,28
148,25
144,25
142,24
147,23
148,23
150,22
156,21
156,20
154,19
149,15
143,16
143,16
141,14
137,14
139,13
138,13
139,13
142,16
142,15
142,15
140,16
137,15
141,15
142,16
146,16
148,15
139,14
142,13
138,13
141,12
147,12
146,10
148,11
153,8
155,6
158,6
161,6
149,5
150,5
146,5
146,5
145,7
141,9
142,11
140,11
140,11
141,11
145,10
141,10
139,11
139,13
140,12
140,12
139,12
138,13
140,13
138,14
138,15
136,16
138,15
145,16
148,15
146,12
140,10
148,8
148,8
144,9
145,9
149,10
155,11
159,13
162,13
146,15
146,15
140,13
138,14
139,12
138,13
138,14
143,13
150,13
154,13
157,14
154,15
149,15
143,18
145,17
147,17
146,17
143,16
140,14
139,13
139,12
138,16
139,16
140,18
149,19
145,21
133,24
144,23
136,24
143,24
145,23
138,26
129,26
124,26
126,29
121,30
125,27
128,26
127,23
129,25
127,24
126,24
126,24
124,26
129,30
133,28
130,30
131,29
132,34
137,35
135,37
136,41
136,46
140,48
143,48
148,48
147,47
149,47
151,47
142,52
140,50
135,56
133,61
131,58
131,57
126,54
126,59
118,58
114,60
111,61
113,60
113,52
112,55
111,54
111,51
113,49
114,52
113,49
114,47
118,43
122,43
124,50
122,48
118,50
117,49
112,47
113,45
117,45
121,40
120,41
119,38
124,39
128,40
122,39
117,38
121,38
125,34
126,33
123,33
128,34
120,35
118,36
119,34
122,39
125,42
136,37
147,32
154,36
150,37
149,36
147,35
153,35
149,36
155,31
155,35
150,36
153,37
159,39
156,38
159,41
166,44
163,45
159,42
159,43
162,41
167,42
164,44
164,47
163,52
176,53
184,54
179,55
177,55
173,53
171,56
170,58
168,65
174,57
173,58
164,58
173,57
174,57
169,56
158,59
149,59
148,62
149,61
146,64
143,63
145,63
148,67
140,69
137,66
142,64
138,60
136,61
137,59
140,62
136,62
143,63
142,64
144,60
159,57
152,56
149,53
151,56
148,62
152,63
152,67
153,65
157,64
160,64
167,67
170,67
167,68
169,66
172,70
170,69
172,67
178,68
182,63
186,62
189,59
191,56
190,58
188,56
181,57
173,54
178,49
177,51
176,46
176,42
179,42
176,41
176,41
181,40
184,42
181,44
180,45
181,48
174,49
172,47
176,51
174,56
168,61
171,61
173,62
166,65
157,61
157,59
157,62
143,66
142,64
144,62
153,65
164,64
167,63
175,67
172,64
174,63
172,60
164,61
167,61
171,61
171,58
