steps,wild_median,mutant_median,total_counts
1,150.0,50.0,200.0
2,150.0,50.0,200.0
3,150.0,50.0,200.0
4,149.74874371859298,50.25125628140703,200.0
5,150.0,50.0,200.0
6,150.0,50.0,200.0
7,150.0,50.0,200.0
8,149.87437185929647,50.12562814070351,200.0
9,150.0,50.0,200.0
10,149.7326203208556,50.26737967914438,200.0
11,150.0,50.0,200.0
12,150.0,50.0,200.0
13,150.12690355329948,49.8730964467005,200.0
14,150.0,50.0,200.0
15,150.26455026455025,49.735449735449734,200.0
16,150.26741026741027,49.73258973258973,200.0
17,150.0,50.0,200.0
18,150.55562415112976,49.44437584887023,200.0
19,150.51025721128815,49.489742788711865,200.0
20,150.26180881103159,49.738191188968386,199.99999999999997
21,150.26203868843461,49.73796131156537,200.0
22,150.13513513513513,49.86486486486486,200.0
23,149.7296981385699,50.27030186143011,200.0
24,150.0,50.0,200.0
25,150.2646688138916,49.73533118610839,200.0
26,150.58954085171314,49.41045914828686,200.0
27,150.92079990961474,49.079200090385264,200.0
28,150.26455026455025,49.735449735449734,200.0
29,150.53197509903794,49.468024900962085,200.00000000000003
30,150.31847133757964,49.681528662420384,200.00000000000003
31,150.41592394533572,49.584076054664294,200.0
32,150.69334011831307,49.30665988168692,200.0
33,150.56208159656435,49.437918403435646,200.0
34,150.25906735751295,49.740932642487046,200.0
35,150.54945054945054,49.45054945054945,200.0
36,150.27351807012823,49.72648192987176,200.0
37,150.54971608070556,49.45028391929443,200.0
38,150.30716466287265,49.69283533712735,200.0
39,150.53763440860214,49.46236559139785,200.0
40,150.69334011831307,49.30665988168692,200.0
41,150.32263436160028,49.677365638399735,200.0
42,150.2650251002608,49.73497489973918,199.99999999999997
43,150.0,50.0,200.0
44,150.27624309392266,49.72375690607735,200.0
45,150.26203868843461,49.73796131156537,200.0
46,150.299444145598,49.700555854402005,200.0
47,150.0,50.0,200.0
48,150.27624309392266,49.72375690607735,200.0
49,150.31055900621118,49.68944099378882,200.0
50,150.2707766166096,49.72922338339042,200.0
51,150.0,50.0,200.0
52,150.0,50.0,200.0
53,150.0,50.0,200.0
54,149.73821989528795,50.26178010471204,200.0
55,150.0,50.0,200.0
56,149.7406820197243,50.25931798027571,200.0
57,150.29243766460306,49.70756233539693,200.0
58,150.52134245682632,49.478657543173675,200.0
59,150.53197509903794,49.468024900962085,200.00000000000003
60,150.9555690809495,49.04443091905052,200.0
61,150.65800865800867,49.341991341991346,200.0
62,150.55562415112976,49.44437584887023,200.0
63,151.24427386405844,48.755726135941565,200.0
64,150.8288304789816,49.17116952101841,200.0
65,150.31867819591605,49.68132180408396,200.0
66,150.9092244957937,49.090775504206306,200.0
67,150.9555690809495,49.04443091905052,200.0
68,150.9555690809495,49.04443091905052,200.0
69,150.7102177554439,49.289782244556115,200.0
70,150.30716466287265,49.69283533712735,200.0
71,150.61057334326136,49.38942665673864,200.0
72,151.23475609756096,48.765243902439025,200.0
73,150.9433962264151,49.056603773584904,200.0
74,150.6172839506173,49.382716049382715,200.0
75,150.61057334326136,49.38942665673864,200.0
76,150.7257448433919,49.2742551566081,200.0
77,151.0204081632653,48.97959183673469,200.0
78,150.9555690809495,49.04443091905052,200.0
79,150.28248587570621,49.717514124293785,200.0
80,150.75376884422113,49.246231155778894,200.00000000000003
81,150.5750165234633,49.42498347653668,199.99999999999997
82,150.69334011831307,49.30665988168692,200.0
83,151.25078173858662,48.74921826141338,200.0
84,151.63398692810458,48.36601307189542,200.0
85,150.95681144110836,49.04318855889164,200.0
86,151.1766334440753,48.82336655592469,200.0
87,151.49722072798997,48.502779272010045,200.0
88,151.07910906298002,48.92089093701997,200.0
89,151.1271529888551,48.872847011144884,200.0
90,151.28218616027988,48.71781383972016,200.00000000000003
91,150.31847133757964,49.681528662420384,200.00000000000003
92,150.30679465462075,49.693205345379255,200.0
93,150.42239356352667,49.577606436473346,200.0
94,151.02860363533887,48.971396364661125,200.0
95,150.59532246633594,49.404677533664064,200.0
96,150.94910179640718,49.050898203592816,200.0
97,151.53397327310373,48.466026726896295,200.00000000000003
98,150.69387497634517,49.30612502365483,200.0
99,151.25078173858662,48.74921826141338,200.0
100,151.30556313062448,48.694436869375515,200.0
101,151.44818349238238,48.55181650761761,200.0
102,151.72504957038996,48.274950429610044,200.0
103,151.23475609756096,48.765243902439025,200.0
104,151.5856520281596,48.414347971840435,200.00000000000003
105,151.72413793103448,48.275862068965516,200.0
106,151.9516796053109,48.04832039468911,200.0
107,151.51284084670286,48.487159153297135,200.0
108,151.38189036494123,48.618109635058794,200.00000000000003
109,151.1512297226583,48.8487702773417,200.0
110,151.56587119973847,48.43412880026152,200.0
111,150.95090930702483,49.049090692975156,200.0
112,151.29892037786774,48.701079622132255,200.0
113,151.4826122047935,48.51738779520651,200.0
114,150.95681144110836,49.04318855889164,200.0
115,150.91029460443562,49.08970539556438,200.0
116,151.0047043010753,48.99529569892473,200.00000000000003
117,151.3662834104823,48.6337165895177,200.0
118,151.632170313424,48.367829686575995,200.0
119,151.28543177323667,48.71456822676335,200.0
120,151.75581870151083,48.24418129848918,200.0
121,151.76174992610106,48.238250073898904,199.99999999999997
122,151.8287640735322,48.17123592646778,199.99999999999997
123,151.63887497316253,48.36112502683747,200.0
124,152.0010454441504,47.99895455584958,200.0
125,152.5869759143622,47.41302408563782,200.00000000000003
126,152.8729115950245,47.127088404975495,200.0
127,153.03334448533514,46.966655514664886,200.00000000000003
128,152.5,47.5,200.0
129,152.67056934155312,47.32943065844687,200.0
130,153.03334448533514,46.966655514664886,200.00000000000003
131,152.74554591137505,47.25445408862494,200.0
132,152.86624203821657,47.13375796178344,200.0
133,152.85004698617263,47.149953013827364,200.0
134,152.8433774293647,47.15662257063531,200.0
135,153.0137981118373,46.98620188816267,199.99999999999997
136,152.77389277389278,47.22610722610723,200.0
137,153.58629130966952,46.41370869033048,200.0
138,153.43410520297314,46.56589479702687,200.0
139,153.1645569620253,46.835443037974684,200.0
140,153.92964292017177,46.07035707982823,200.0
141,153.6782634552483,46.321736544751715,200.0
142,153.35060449050087,46.649395509499136,200.0
143,153.21912130422768,46.78087869577231,200.0
144,153.42342342342343,46.57657657657658,200.0
145,153.5009428032684,46.49905719673162,200.00000000000003
146,153.52443352443353,46.475566475566474,200.0
147,153.21637426900585,46.783625730994146,200.0
148,153.00690108445613,46.993098915543875,200.0
149,153.64238410596028,46.35761589403973,200.0
150,152.83730610386655,47.162693896133455,200.0
151,154.05452792145172,45.94547207854826,200.0
152,153.8893690579084,46.11063094209162,200.0
153,154.00534759358288,45.99465240641712,200.0
154,153.46376276608837,46.53623723391165,200.0
155,153.41667631284486,46.58332368715515,200.0
156,153.47222222222223,46.52777777777778,200.0
157,153.76033314687052,46.23966685312947,200.0
158,153.03308823529412,46.966911764705884,200.0
159,153.0120481927711,46.98795180722892,200.0
160,153.1904656155156,46.80953438448442,200.0
161,153.45479333209394,46.54520666790605,200.0
162,152.80898876404493,47.19101123595505,199.99999999999997
163,153.27008321020296,46.72991678979703,200.0
164,153.21271326362137,46.78728673637865,200.0
165,153.59538560136724,46.40461439863277,200.0
166,153.54838709677418,46.45161290322581,200.0
167,153.76033314687052,46.23966685312947,200.0
168,153.48837209302326,46.51162790697674,200.0
169,153.68421052631578,46.31578947368421,200.0
170,153.5183795948987,46.481620405101275,199.99999999999997
171,153.49025974025975,46.50974025974026,200.0
172,154.16666666666669,45.83333333333333,200.0
173,154.62287869264614,45.37712130735386,200.0
174,154.28501998055947,45.714980019440546,200.0
175,154.19772326873561,45.8022767312644,200.0
176,154.54545454545453,45.45454545454545,200.0
177,154.61688492616327,45.38311507383672,200.0
178,154.34782608695653,45.65217391304348,200.0
179,154.70175438596493,45.29824561403509,200.00000000000003
180,154.65578786333504,45.34421213666497,200.0
181,154.46773120425817,45.53226879574185,200.00000000000003
182,154.67364769369138,45.32635230630862,200.0
183,154.13251366120218,45.86748633879781,200.0
184,154.5182362547632,45.4817637452368,200.0
185,154.97144029825222,45.02855970174778,200.0
186,154.80030721966207,45.19969278033794,200.0
187,154.9390243902439,45.0609756097561,200.0
188,155.2577979515829,44.742202048417134,200.00000000000003
189,155.43759855823382,44.56240144176616,199.99999999999997
190,155.27950310559007,44.72049689440994,200.0
191,155.6701030927835,44.329896907216494,200.0
192,155.67874692874693,44.321253071253075,200.0
193,155.9981684981685,44.001831501831504,200.0
194,155.6852204681546,44.3147795318454,200.0
195,156.0707585097829,43.929241490217095,200.0
196,156.4992115341293,43.500788465870684,200.0
197,155.44275239706712,44.55724760293288,200.0
198,155.67251461988306,44.32748538011696,200.00000000000003
199,155.76638929932344,44.233610700676564,200.0
200,155.54205791581853,44.4579420841815,200.00000000000003
201,156.3301282051282,43.669871794871796,200.0
202,156.03468208092485,43.96531791907514,200.0
203,155.6156156156156,44.38438438438438,200.0
204,154.97252747252747,45.027472527472526,200.0
205,155.81152515825886,44.188474841741176,200.00000000000003
206,156.40656492945578,43.593435070544196,199.99999999999997
207,156.6027266962587,43.39727330374128,200.0
208,156.6678520625889,43.3321479374111,200.0
209,156.54854712969524,43.45145287030475,200.0
210,156.7424752629125,43.2575247370875,200.0
211,156.99261190786612,43.00738809213386,199.99999999999997
212,156.8744863214747,43.12551367852531,200.0
213,156.7251461988304,43.27485380116959,200.0
214,156.57518796992483,43.42481203007519,200.0
215,156.69883810587328,43.301161894126714,200.0
216,156.18951612903226,43.810483870967744,200.0
217,156.83507357145007,43.16492642854993,200.0
218,157.29291980869107,42.70708019130895,200.0
219,157.51295336787564,42.487046632124354,200.0
220,156.59608129487648,43.40391870512352,200.0
221,157.18414533443433,42.815854665565645,199.99999999999997
222,156.70103092783506,43.29896907216495,200.0
223,157.27629233511587,42.72370766488414,200.0
224,157.10734041891976,42.89265958108024,200.0
225,157.5588285085492,42.441171491450824,200.00000000000003
226,157.77089783281735,42.22910216718267,200.00000000000003
227,157.33873963105114,42.66126036894887,200.0
228,157.3343579234973,42.66564207650273,200.00000000000003
229,157.86883133616803,42.13116866383198,200.0
230,158.1830204621432,41.8169795378568,200.0
231,157.22543352601156,42.77456647398844,200.0
232,157.2437088329674,42.75629116703259,200.0
233,157.18105423987777,42.818945760122226,200.0
234,156.55034324942793,43.44965675057209,200.0
235,157.59582580774634,42.40417419225366,200.0
236,157.48206599713055,42.51793400286944,200.0
237,157.34525785235724,42.65474214764276,200.0
238,157.06510485994025,42.93489514005975,200.0
239,157.2380952380952,42.76190476190476,199.99999999999997
240,157.7304511977879,42.26954880221212,200.0
241,157.17986474694592,42.820135253054104,200.00000000000003
242,157.14285714285714,42.857142857142854,200.0
243,157.3125,42.6875,200.0
244,156.72232742296438,43.27767257703564,200.00000000000003
245,156.97072113441828,43.02927886558172,200.0
246,157.39644970414201,42.60355029585799,200.0
247,157.2380952380952,42.76190476190476,199.99999999999997
248,156.96244599534728,43.03755400465271,200.0
249,157.3125,42.6875,200.0
250,157.06510485994025,42.93489514005975,200.0
251,157.25545900178255,42.74454099821747,200.00000000000003
252,157.223113964687,42.776886035313,200.0
253,157.52351097178683,42.476489028213166,200.0
254,158.2805907172996,41.719409282700425,200.0
255,158.13922427609788,41.86077572390213,200.0
256,157.9864165816237,42.01358341837632,200.00000000000003
257,157.3043699186992,42.69563008130081,200.0
258,157.6541008660214,42.345899133978605,200.0
259,157.3728288851957,42.62717111480432,200.00000000000003
260,157.6541008660214,42.345899133978605,200.0
261,157.40790227142585,42.59209772857415,200.0
262,157.60263053009166,42.39736946990833,200.0
263,157.28982871413447,42.71017128586552,200.0
264,157.06605222734257,42.93394777265745,200.0
265,157.95117698343506,42.04882301656495,200.0
266,157.7548682703322,42.24513172966781,200.0
267,156.9425511197663,43.05744888023369,200.0
268,157.0795892169448,42.920410783055196,200.0
269,157.00862002019105,42.99137997980896,200.0
270,157.05868080829086,42.94131919170913,200.0
271,156.63998914812805,43.36001085187195,200.0
272,156.49084249084248,43.50915750915751,200.0
273,156.80415263748597,43.19584736251403,200.0
274,157.27125334837163,42.72874665162837,200.0
275,157.6158940397351,42.384105960264904,200.0
276,157.44530960326287,42.554690396737115,200.0
277,156.9366982710541,43.0633017289459,200.0
278,157.83458156952133,42.165418430478674,200.0
279,158.48907190370608,41.51092809629395,200.00000000000003
280,158.35741811175336,41.64258188824663,200.0
281,158.210871736339,41.789128263661006,200.0
282,157.89473684210526,42.10526315789473,200.0
283,157.97962648556876,42.02037351443124,200.0
284,158.19209039548022,41.80790960451977,200.0
285,158.0474410295431,41.95255897045688,200.0
286,157.73504273504273,42.26495726495727,200.0
287,157.67195767195767,42.32804232804233,200.0
288,157.37508964857759,42.62491035142242,200.0
289,157.73504273504273,42.26495726495727,200.0
290,157.80455153949129,42.1954484605087,200.0
291,157.45903643922722,42.5409635607728,200.00000000000003
292,158.28754578754578,41.71245421245421,200.0
293,157.63888888888889,42.36111111111111,200.0
294,158.29054666263968,41.709453337360316,200.0
295,158.42696629213484,41.57303370786517,200.0
296,158.8712241653418,41.128775834658185,200.0
297,159.20967112959835,40.790328870401666,200.0
298,158.8781055900621,41.12189440993789,199.99999999999997
299,158.62028301886792,41.37971698113208,200.0
300,158.43104512288087,41.568954877119104,199.99999999999997
301,158.22425828970333,41.775741710296685,200.0
302,157.6650898770104,42.33491012298959,199.99999999999997
303,158.16993464052288,41.830065359477125,200.0
304,158.01787054089078,41.982129459109196,199.99999999999997
305,158.39970417567412,41.60029582432586,199.99999999999997
306,158.35458744054597,41.64541255945405,200.00000000000003
307,158.5137085137085,41.486291486291485,200.0
308,157.41706458909275,42.58293541090726,200.0
309,157.68213268213267,42.31786731786732,200.0
310,157.48563218390802,42.514367816091955,199.99999999999997
311,157.96178343949046,42.038216560509554,200.0
312,157.50647668393782,42.49352331606217,200.0
313,157.9528932829311,42.047106717068914,200.0
314,158.50326536052245,41.49673463947754,200.0
315,158.7228260869565,41.27717391304348,199.99999999999997
316,158.66294227188084,41.337057728119184,200.00000000000003
317,158.82051282051282,41.179487179487175,200.0
318,158.9902850772416,41.0097149227584,200.0
319,159.20967112959835,40.790328870401666,200.0
320,159.12400047738393,40.87599952261606,200.0
321,159.11331557515078,40.88668442484921,200.0
322,159.21052631578948,40.78947368421053,200.0
323,159.88826815642457,40.11173184357542,200.0
324,159.75587064121171,40.244129358788285,200.0
325,160.0,40.0,200.0
326,159.23489278752436,40.765107212475634,200.0
327,158.95737816267618,41.04262183732382,200.0
328,158.5352238472703,41.46477615272971,200.0
329,158.86413806943608,41.13586193056392,200.0
330,159.52988212587024,40.47011787412973,199.99999999999997
331,159.88826815642457,40.11173184357542,200.0
332,160.21223892360524,39.78776107639475,200.0
333,160.38298219826882,39.61701780173118,200.0
334,159.77332562768893,40.22667437231105,200.0
335,160.21834840552117,39.78165159447882,200.0
336,160.76265146115466,39.23734853884533,200.0
337,160.72115898642147,39.27884101357853,200.0
338,160.93185165350116,39.068148346498866,200.00000000000003
339,160.3030303030303,39.696969696969695,200.0
340,160.75114927573944,39.248850724260556,200.0
341,160.20833333333334,39.79166666666667,200.0
342,160.24096385542168,39.75903614457831,200.0
343,160.0,40.0,200.0
344,159.57998015654283,40.42001984345717,200.0
345,159.35782967032966,40.64217032967033,200.0
346,159.1995221027479,40.800477897252094,200.0
347,159.49367088607596,40.50632911392405,200.0
348,159.8941798941799,40.10582010582011,200.0
349,159.18772686802274,40.812273131977264,200.0
350,160.10752688172042,39.89247311827957,200.0
351,159.8941798941799,40.10582010582011,200.0
352,159.74842767295598,40.25157232704403,200.0
353,160.0,40.0,200.0
354,160.23449114745233,39.76550885254764,199.99999999999997
355,159.19709989258862,40.80290010741139,200.0
356,159.198729612598,40.80127038740199,199.99999999999997
357,159.55602016972082,40.443979830279176,200.0
358,159.13916288218448,40.86083711781551,200.0
359,158.89894419306182,41.101055806938156,199.99999999999997
360,158.33185573956524,41.66814426043477,200.0
361,158.66223207686622,41.337767923133775,200.0
362,157.60714285714286,42.392857142857146,200.0
363,157.83132530120483,42.168674698795186,200.0
364,158.15313718539525,41.846862814604755,200.0
365,158.4412780656304,41.5587219343696,200.0
366,158.64226794349102,41.35773205650896,199.99999999999997
367,159.07901622187336,40.92098377812663,200.0
368,158.65817091454272,41.34182908545727,200.0
369,159.2371554347505,40.76284456524951,200.0
370,158.69468830362686,41.305311696373145,200.0
371,159.1153470185728,40.88465298142718,200.0
372,159.37243562189832,40.627564378101674,200.0
373,158.33513647182465,41.664863528175324,199.99999999999997
374,158.70833333333331,41.291666666666664,199.99999999999997
375,159.13978494623655,40.86021505376344,200.0
376,158.95737816267618,41.04262183732382,200.0
377,158.21692431861925,41.783075681380765,200.0
378,158.52382797365362,41.47617202634638,200.0
379,159.53718566078118,40.46281433921883,200.0
380,160.88170998299734,39.11829001700267,200.0
381,160.6221792392005,39.37782076079949,200.0
382,160.0,40.0,200.0
383,160.87214124896315,39.127858751036854,200.0
384,160.4169494285947,39.58305057140531,200.0
385,161.0842490842491,38.91575091575091,200.00000000000003
386,161.0842490842491,38.91575091575091,200.00000000000003
387,160.2447055301953,39.75529446980468,199.99999999999997
388,161.1287758346582,38.871224165341815,200.0
389,161.0283454185893,38.97165458141068,200.0
390,160.4464618828504,39.553538117149614,200.0
391,160.80617495711834,39.19382504288165,200.0
392,160.6562275878556,39.343772412144396,200.0
393,160.77010820976048,39.22989179023954,200.00000000000003
394,160.92258748674445,39.077412513255574,200.00000000000003
395,160.51793496480053,39.48206503519947,200.0
396,160.73781291172594,39.26218708827405,200.0
397,160.7817568856943,39.21824311430571,200.0
398,160.8966532043455,39.10334679565449,200.0
399,161.02262517356857,38.97737482643143,200.0
400,161.55929510327894,38.44070489672108,200.00000000000003
401,161.4940047165111,38.50599528348889,200.0
402,161.16962305986698,38.830376940133036,200.0
403,162.32066362956417,37.67933637043585,200.0
404,162.59509993552547,37.40490006447453,200.0
405,161.74278357501018,38.257216424989835,200.0
406,161.6220342964529,38.377965703547105,200.0
407,161.68938718308064,38.31061281691935,200.0
408,161.66733889733487,38.332661102665135,200.0
409,161.43986327707754,38.56013672292246,200.0
410,160.92258748674445,39.077412513255574,200.00000000000003
411,160.6938409545486,39.30615904545141,200.0
412,160.79416691299636,39.20583308700365,200.0
413,160.79374818355024,39.206251816449765,200.0
414,160.45782275534287,39.54217724465712,200.0
415,160.0,40.0,200.0
416,160.2347208400535,39.765279159946466,199.99999999999997
417,159.77957250425067,40.220427495749334,200.0
418,160.442566643363,39.557433356636984,199.99999999999997
419,160.2152092794539,39.78479072054612,200.0
420,160.70517681119458,39.2948231888054,199.99999999999997
421,159.4339935635845,40.56600643641551,200.0
422,160.20675285821136,39.793247141788655,200.0
423,161.23339658444021,38.76660341555977,200.0
424,162.03829925348913,37.96170074651087,200.0
425,160.69422150882824,39.30577849117175,200.0
426,161.18367346938777,38.816326530612244,200.0
427,160.84715374271627,39.15284625728373,200.0
428,161.93064182194615,38.06935817805383,200.0
429,162.06012378426172,37.93987621573828,200.0
430,162.35294117647058,37.64705882352941,200.0
431,162.17733990147784,37.822660098522164,200.0
432,162.01602999159718,37.98397000840282,200.0
433,161.3267543859649,38.67324561403509,200.0
434,162.21315655277922,37.78684344722081,200.00000000000003
435,162.7734948032086,37.22650519679141,200.0
436,162.63843251795058,37.36156748204941,200.0
437,162.38859180035652,37.61140819964349,200.0
438,163.1118648576749,36.88813514232508,200.0
439,163.10270734851738,36.897292651482594,199.99999999999997
440,162.35163846499879,37.64836153500121,200.0
441,163.42737722048065,36.57262277951933,199.99999999999997
442,163.49059420722605,36.50940579277396,200.0
443,162.98241328773815,37.017586712261846,200.0
